rooms_final,m2_final,distancia_subte_cercano,price,place_l3_Agronomía,place_l3_Almagro,place_l3_Balvanera,place_l3_Barracas,place_l3_Barrio Norte,place_l3_Belgrano,place_l3_Boca,place_l3_Boedo,place_l3_Caballito,place_l3_Catalinas,place_l3_Centro / Microcentro,place_l3_Chacarita,place_l3_Coghlan,place_l3_Colegiales,place_l3_Congreso,place_l3_Constitución,place_l3_Flores,place_l3_Floresta,place_l3_Las Cañitas,place_l3_Liniers,place_l3_Mataderos,place_l3_Monserrat,place_l3_Monte Castro,place_l3_Nuñez,place_l3_Once,place_l3_Palermo,place_l3_Parque Avellaneda,place_l3_Parque Centenario,place_l3_Parque Chacabuco,place_l3_Parque Chas,place_l3_Parque Patricios,place_l3_Paternal,place_l3_Pompeya,place_l3_Puerto Madero,place_l3_Recoleta,place_l3_Retiro,place_l3_Saavedra,place_l3_San Cristobal,place_l3_San Nicolás,place_l3_San Telmo,place_l3_Tribunales,place_l3_Velez Sarsfield,place_l3_Versalles,place_l3_Villa Crespo,place_l3_Villa Devoto,place_l3_Villa General Mitre,place_l3_Villa Lugano,place_l3_Villa Luro,place_l3_Villa Ortuzar,place_l3_Villa Pueyrredón,place_l3_Villa Real,place_l3_Villa Riachuelo,place_l3_Villa Santa Rita,place_l3_Villa Soldati,place_l3_Villa Urquiza,place_l3_Villa del Parque,type_Departamento,type_PH,precio_prediccion,error_abs,error_rel
1.9127953279662373,0.71615148397636,3.594789298964732,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244235.27,94235.265625,0.6282351041666666
3.552574935112624,3.286690699117221,0.405994642965416,380000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430927.3,50927.3125,0.13401924342105262
2.732685131539431,3.2119657219328936,1.9560814671337554,417000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,411218.34,5781.65625,0.01386488309352518
1.9127953279662373,4.183390425329149,2.7974729298920478,548000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448500.44,99499.5625,0.1815685447080292
1.9127953279662373,2.718780872516333,3.1303121631614568,476000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,382275.56,93724.4375,0.1969000787815126
0.2730157208198505,1.448456260382768,3.202930794029855,235000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216473.39,18526.609375,0.07883663563829788
3.552574935112624,2.9877907903799117,-0.6260755635040636,426000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386388.75,39611.25,0.09298415492957747
2.732685131539431,0.910436424655611,-0.655947895959983,79000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246554.98,167554.984375,2.1209491693037976
2.732685131539431,3.794820543970647,0.9834835836839407,330000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447247.28,117247.28125,0.35529479166666667
1.092905524393044,4.183390425329149,-0.6744509626260653,470000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447314.78,22685.21875,0.048266422872340425
